route,stop,direction,day_type,depart_time
清61,清瀬駅北口,自宅方向,平日,06:08
清61,清瀬駅北口,自宅方向,平日,06:33
清61,清瀬駅北口,自宅方向,平日,06:52
清61,清瀬駅北口,自宅方向,平日,07:12
清61,清瀬駅北口,自宅方向,平日,07:30
清61,清瀬駅北口,自宅方向,平日,07:55
清61,清瀬駅北口,自宅方向,平日,08:24
清61,清瀬駅北口,自宅方向,平日,08:45
清61,清瀬駅北口,自宅方向,平日,09:25
清61,清瀬駅北口,自宅方向,平日,10:10
清61,清瀬駅北口,自宅方向,平日,10:39
清61,清瀬駅北口,自宅方向,平日,11:55
清61,清瀬駅北口,自宅方向,平日,12:34
清61,清瀬駅北口,自宅方向,平日,12:49
清61,清瀬駅北口,自宅方向,平日,13:28
清61,清瀬駅北口,自宅方向,平日,13:59
清61,清瀬駅北口,自宅方向,平日,14:32
清61,清瀬駅北口,自宅方向,平日,15:25
清61,清瀬駅北口,自宅方向,平日,16:00
清61,清瀬駅北口,自宅方向,平日,16:39
清61,清瀬駅北口,自宅方向,平日,17:01
清61,清瀬駅北口,自宅方向,平日,17:35
清61,清瀬駅北口,自宅方向,平日,18:12
清61,清瀬駅北口,自宅方向,平日,18:42
清61,清瀬駅北口,自宅方向,平日,19:09
清61,清瀬駅北口,自宅方向,平日,19:56
清61,清瀬駅北口,自宅方向,平日,20:40
清61,清瀬駅北口,自宅方向,平日,21:01
清61,清瀬駅北口,自宅方向,平日,21:31
清61,清瀬駅北口,自宅方向,平日,22:10
清61,清瀬駅北口,自宅方向,土曜,06:00
清61,清瀬駅北口,自宅方向,土曜,06:45
清61,清瀬駅北口,自宅方向,土曜,07:00
清61,清瀬駅北口,自宅方向,土曜,07:20
清61,清瀬駅北口,自宅方向,土曜,07:50
清61,清瀬駅北口,自宅方向,土曜,08:14
清61,清瀬駅北口,自宅方向,土曜,08:44
清61,清瀬駅北口,自宅方向,土曜,09:27
清61,清瀬駅北口,自宅方向,土曜,09:50
清61,清瀬駅北口,自宅方向,土曜,10:23
清61,清瀬駅北口,自宅方向,土曜,10:50
清61,清瀬駅北口,自宅方向,土曜,11:25
清61,清瀬駅北口,自宅方向,土曜,11:54
清61,清瀬駅北口,自宅方向,土曜,12:50
清61,清瀬駅北口,自宅方向,土曜,13:24
清61,清瀬駅北口,自宅方向,土曜,14:25
清61,清瀬駅北口,自宅方向,土曜,15:20
清61,清瀬駅北口,自宅方向,土曜,15:49
清61,清瀬駅北口,自宅方向,土曜,16:25
清61,清瀬駅北口,自宅方向,土曜,16:50
清61,清瀬駅北口,自宅方向,土曜,17:27
清61,清瀬駅北口,自宅方向,土曜,17:50
清61,清瀬駅北口,自宅方向,土曜,18:24
清61,清瀬駅北口,自宅方向,土曜,18:50
清61,清瀬駅北口,自宅方向,土曜,19:22
清61,清瀬駅北口,自宅方向,土曜,19:52
清61,清瀬駅北口,自宅方向,土曜,20:35
清61,清瀬駅北口,自宅方向,土曜,21:26
清61,清瀬駅北口,自宅方向,休日,06:15
清61,清瀬駅北口,自宅方向,休日,06:40
清61,清瀬駅北口,自宅方向,休日,07:10
清61,清瀬駅北口,自宅方向,休日,08:10
清61,清瀬駅北口,自宅方向,休日,08:40
