route,stop,direction,day_type,depart_time
清61,清瀬駅北口,志木駅南口方面,平日,6:08
清61,清瀬駅北口,志木駅南口方面,平日,6:33
清61,清瀬駅北口,志木駅南口方面,平日,6:52
清61,清瀬駅北口,志木駅南口方面,平日,7:12
清61,清瀬駅北口,志木駅南口方面,平日,7:30
清61,清瀬駅北口,志木駅南口方面,平日,7:55
清61,清瀬駅北口,志木駅南口方面,平日,8:24
清61,清瀬駅北口,志木駅南口方面,平日,8:45
清61,清瀬駅北口,志木駅南口方面,平日,9:25
清61,清瀬駅北口,志木駅南口方面,平日,10:10
清61,清瀬駅北口,志木駅南口方面,平日,10:39
清61,清瀬駅北口,志木駅南口方面,平日,11:55
清61,清瀬駅北口,志木駅南口方面,平日,12:34
清61,清瀬駅北口,志木駅南口方面,平日,12:49
清61,清瀬駅北口,志木駅南口方面,平日,13:28
清61,清瀬駅北口,志木駅南口方面,平日,13:59
清61,清瀬駅北口,志木駅南口方面,平日,14:32
清61,清瀬駅北口,志木駅南口方面,平日,15:25
清61,清瀬駅北口,志木駅南口方面,平日,16:00
清61,清瀬駅北口,志木駅南口方面,平日,16:39
清61,清瀬駅北口,志木駅南口方面,平日,17:01
清61,清瀬駅北口,志木駅南口方面,平日,17:35
清61,清瀬駅北口,志木駅南口方面,平日,18:12
清61,清瀬駅北口,志木駅南口方面,平日,18:42
清61,清瀬駅北口,志木駅南口方面,平日,19:09
清61,清瀬駅北口,志木駅南口方面,平日,19:56
清61,清瀬駅北口,志木駅南口方面,平日,20:40
清61,清瀬駅北口,志木駅南口方面,平日,21:01
清61,清瀬駅北口,志木駅南口方面,平日,21:31
清61,清瀬駅北口,志木駅南口方面,平日,22:10
清61,清瀬駅北口,志木駅南口方面,土曜,6:00
清61,清瀬駅北口,志木駅南口方面,土曜,6:45
清61,清瀬駅北口,志木駅南口方面,土曜,7:00
清61,清瀬駅北口,志木駅南口方面,土曜,7:20
清61,清瀬駅北口,志木駅南口方面,土曜,7:50
清61,清瀬駅北口,志木駅南口方面,土曜,8:14
清61,清瀬駅北口,志木駅南口方面,土曜,8:44
清61,清瀬駅北口,志木駅南口方面,土曜,9:27
清61,清瀬駅北口,志木駅南口方面,土曜,9:50
清61,清瀬駅北口,志木駅南口方面,土曜,10:23
清61,清瀬駅北口,志木駅南口方面,土曜,10:50
清61,清瀬駅北口,志木駅南口方面,土曜,11:25
清61,清瀬駅北口,志木駅南口方面,土曜,11:54
清61,清瀬駅北口,志木駅南口方面,土曜,12:50
清61,清瀬駅北口,志木駅南口方面,土曜,13:24
清61,清瀬駅北口,志木駅南口方面,土曜,14:25
清61,清瀬駅北口,志木駅南口方面,土曜,15:20
清61,清瀬駅北口,志木駅南口方面,土曜,15:49
清61,清瀬駅北口,志木駅南口方面,土曜,16:25
清61,清瀬駅北口,志木駅南口方面,土曜,16:50
清61,清瀬駅北口,志木駅南口方面,土曜,17:27
清61,清瀬駅北口,志木駅南口方面,土曜,17:50
清61,清瀬駅北口,志木駅南口方面,土曜,18:24
清61,清瀬駅北口,志木駅南口方面,土曜,18:50
清61,清瀬駅北口,志木駅南口方面,土曜,19:22
清61,清瀬駅北口,志木駅南口方面,土曜,19:52
清61,清瀬駅北口,志木駅南口方面,土曜,20:35
清61,清瀬駅北口,志木駅南口方面,土曜,21:26
清61,清瀬駅北口,志木駅南口方面,休日,6:15
清61,清瀬駅北口,志木駅南口方面,休日,6:40
清61,清瀬駅北口,志木駅南口方面,休日,7:10
清61,清瀬駅北口,志木駅南口方面,休日,8:10
清61,清瀬駅北口,志木駅南口方面,休日,8:40
清61,清瀬駅北口,志木駅南口方面,休日,9:15
清61,清瀬駅北口,志木駅南口方面,休日,9:55
清61,清瀬駅北口,志木駅南口方面,休日,10:35
清61,清瀬駅北口,志木駅南口方面,休日,10:55
清61,清瀬駅北口,志木駅南口方面,休日,11:45
清61,清瀬駅北口,志木駅南口方面,休日,12:20
清61,清瀬駅北口,志木駅南口方面,休日,13:00
清61,清瀬駅北口,志木駅南口方面,休日,13:45
清61,清瀬駅北口,志木駅南口方面,休日,14:30
清61,清瀬駅北口,志木駅南口方面,休日,15:35
清61,清瀬駅北口,志木駅南口方面,休日,16:05
清61,清瀬駅北口,志木駅南口方面,休日,16:45
清61,清瀬駅北口,志木駅南口方面,休日,17:20
清61,清瀬駅北口,志木駅南口方面,休日,18:00
清61,清瀬駅北口,志木駅南口方面,休日,18:35
清61,清瀬駅北口,志木駅南口方面,休日,19:15
清61,清瀬駅北口,志木駅南口方面,休日,19:50
清61,清瀬駅北口,志木駅南口方面,休日,20:25
清61,清瀬駅北口,志木駅南口方面,休日,21:20
清61-1,清瀬駅北口,新座営業所方面,平日,11:22
清61-1,清瀬駅北口,新座営業所方面,平日,14:15
清61-1,清瀬駅北口,新座営業所方面,平日,20:14
清61-1,清瀬駅北口,新座営業所方面,平日,23:05
清61-1,清瀬駅北口,新座営業所方面,土曜,12:18
清61-1,清瀬駅北口,新座営業所方面,土曜,13:42
清61-1,清瀬駅北口,新座営業所方面,土曜,17:15
清61-1,清瀬駅北口,新座営業所方面,土曜,19:37
清61-1,清瀬駅北口,新座営業所方面,土曜,20:05
清61-1,清瀬駅北口,新座営業所方面,土曜,20:55
清61-1,清瀬駅北口,新座営業所方面,土曜,21:53
清61-1,清瀬駅北口,新座営業所方面,土曜,22:45
清61-1,清瀬駅北口,新座営業所方面,休日,13:30
清61-1,清瀬駅北口,新座営業所方面,休日,14:09
清61-1,清瀬駅北口,新座営業所方面,休日,20:56
清61-1,清瀬駅北口,新座営業所方面,休日,22:00
清61-3,清瀬駅北口,新座駅南口方面,平日,13:43
清61-3,清瀬駅北口,新座駅南口方面,平日,19:37
清61-3,清瀬駅北口,新座駅南口方面,土曜,8:57
清61-3,清瀬駅北口,新座駅南口方面,土曜,12:33
清61-3,清瀬駅北口,新座駅南口方面,土曜,16:06
清61-3,清瀬駅北口,新座駅南口方面,休日,7:40
清61-3,清瀬駅北口,新座駅南口方面,休日,11:25
清61-3,清瀬駅北口,新座駅南口方面,休日,15:04
清62,清瀬駅北口,志木駅南口方面,平日,6:11
清62,清瀬駅北口,志木駅南口方面,平日,6:40
清62,清瀬駅北口,志木駅南口方面,平日,7:18
清62,清瀬駅北口,志木駅南口方面,平日,7:56
清62,清瀬駅北口,志木駅南口方面,平日,9:10
清62,清瀬駅北口,志木駅南口方面,平日,10:28
清62,清瀬駅北口,志木駅南口方面,平日,11:17
清62,清瀬駅北口,志木駅南口方面,平日,12:14
清62,清瀬駅北口,志木駅南口方面,平日,13:20
清62,清瀬駅北口,志木駅南口方面,平日,14:20
清62,清瀬駅北口,志木駅南口方面,平日,15:20
清62,清瀬駅北口,志木駅南口方面,平日,16:13
清62,清瀬駅北口,志木駅南口方面,平日,17:20
清62,清瀬駅北口,志木駅南口方面,平日,18:28
清62,清瀬駅北口,志木駅南口方面,平日,20:50
清62,清瀬駅北口,志木駅南口方面,土曜,6:50
清62,清瀬駅北口,志木駅南口方面,土曜,7:25
清62,清瀬駅北口,志木駅南口方面,土曜,8:10
清62,清瀬駅北口,志木駅南口方面,土曜,9:24
清62,清瀬駅北口,志木駅南口方面,土曜,10:18
清62,清瀬駅北口,志木駅南口方面,土曜,11:40
清62,清瀬駅北口,志木駅南口方面,土曜,13:00
清62,清瀬駅北口,志木駅南口方面,土曜,14:00
清62,清瀬駅北口,志木駅南口方面,土曜,15:05
清62,清瀬駅北口,志木駅南口方面,土曜,16:05
清62,清瀬駅北口,志木駅南口方面,土曜,17:30
清62,清瀬駅北口,志木駅南口方面,土曜,19:33
清62,清瀬駅北口,志木駅南口方面,休日,7:25
清62,清瀬駅北口,志木駅南口方面,休日,8:25
清62,清瀬駅北口,志木駅南口方面,休日,9:25
清62,清瀬駅北口,志木駅南口方面,休日,11:35
清62,清瀬駅北口,志木駅南口方面,休日,12:30
清62,清瀬駅北口,志木駅南口方面,休日,13:57
清62,清瀬駅北口,志木駅南口方面,休日,14:46
清62,清瀬駅北口,志木駅南口方面,休日,16:33
清62,清瀬駅北口,志木駅南口方面,休日,17:38
清62,清瀬駅北口,志木駅南口方面,休日,19:21
清62-1,清瀬駅北口,台田方面,平日,7:44
清62-1,清瀬駅北口,台田方面,平日,8:12
清63,清瀬駅北口,旭が丘団地方面,平日,6:00
清63,清瀬駅北口,旭が丘団地方面,平日,6:18
清63,清瀬駅北口,旭が丘団地方面,平日,6:30
